appName,coreF,memF,argNo,kernel,time/ms,blocks,warps,achieved_occupancy,sm_efficiency,warp_execution_efficiency,eligible_warps_per_cycle,branch_efficiency,cf_executed,gld_throughput,gld_transactions,gld_transactions_per_request,gst_throughput,gst_transactions,gst_transactions_per_request,global_hit_rate,dram_read_transactions,dram_read_throughput,dram_write_transactions,dram_write_throughput,l2_read_transactions,l2_read_throughput,l2_write_transactions,l2_write_throughput,shared_load_transactions,shared_load_throughput,shared_load_transactions_per_request,shared_store_transactions,shared_store_throughput,shared_store_transactions_per_request,l2_tex_read_throughput,l2_tex_read_transactions,l2_tex_write_throughput,l2_tex_write_throughput,tex_cache_hit_rate,tex_cache_throughput,tex_cache_transactions,flop_count_dp,flop_count_dp_fma,flop_count_sp,flop_count_sp_fma,flop_count_sp_special,inst_integer,inst_fp_32,inst_per_warp,ipc
cachebench-l2-only,1100,3600,input10,benchmark_func,5.3079,(128 1 1) (256 1 1),1024,0.368861,0.8958,1,1.274412,1,265216,94.179,33554432,8,94.145,16777216,4,0.5,131824,0.76103,2149772,12.843,16872723,94.728,16777227,94.212,0,0,0,0,0,0,94.174,16777216,94.197,94.191,0.5,94.213,16777216,0,0,0,0,32768,1149992960,32768,8.07E+04,0.99944
cachebench-l2-only,1100,3600,input11,benchmark_func,5.3073,(128 1 1) (256 1 1),1024,0.369006,0.8957,1,1.277096,1,265216,94.2,33554432,8,94.169,16777216,4,0.5,134111,0.75245,2021084,11.913,16872893,94.841,16777243,94.219,0,0,0,0,0,0,94.187,16777216,94.223,94.193,0.5,94.22,16777216,0,0,0,0,32768,1149992960,32768,8.07E+04,1.000886
cachebench-l2-only,1100,3600,input12,benchmark_func,5.3081,(128 1 1) (256 1 1),1024,0.369447,0.8947,1,1.27626,1,265216,94.173,33554432,8,94.141,16777216,4,0.5,139626,0.78487,1981277,11.579,16857760,94.316,16777232,94.2,0,0,0,0,0,0,94.172,16777216,94.17,94.17,0.5,94.188,16777216,0,0,0,0,32768,1149992960,32768,8.07E+04,0.999386
cachebench-l2-only,1100,3600,input13,benchmark_func,5.3077,(128 1 1) (256 1 1),1024,0.369452,0.8949,1,1.27595,1,265216,94.171,33554432,8,94.154,16777216,4,0.5,138371,0.79536,2053232,11.762,16871573,94.527,16777247,94.2,0,0,0,0,0,0,94.158,16777216,94.19,94.185,0.5,94.209,16777216,0,0,0,0,32768,1149992960,32768,8.07E+04,0.999787
cachebench-l2-only,1100,3600,input14,benchmark_func,5.3084,(128 1 1) (256 1 1),1024,0.369784,0.8944,1,1.272981,1,265216,94.173,33554432,8,94.153,16777216,4,0.5,143297,0.83447,2119512,12.521,16878501,94.557,16777222,94.203,0,0,0,0,0,0,94.16,16777216,94.173,94.173,0.5,94.192,16777216,0,0,0,0,32768,1149992960,32768,8.07E+04,1.001464
cachebench-l2-only,1100,3600,input15,benchmark_func,5.3125,(128 1 1) (256 1 1),1024,0.369619,0.894,1,1.274384,1,265216,94.11,33554432,8,94.078,16777216,4,0.5,147502,0.86212,1767493,10.17,16851144,94.649,16777222,94.124,0,0,0,0,0,0,94.102,16777216,94.105,94.1,0.5,94.12,16777216,0,0,0,0,32768,1149927424,32768,8.07E+04,1.000283
cachebench-l2-only,1100,3600,input16,benchmark_func,8.0394,(128 1 1) (256 1 1),1024,0.369773,0.929,1,0.809585,1,265216,62.234,33554432,8,62.242,16777216,4,0.5,12819645,47.542,14450738,53.536,16892778,62.759,16777250,62.208,0,0,0,0,0,0,62.25,16777216,62.231,62.23,0.5,62.226,16777216,0,0,0,0,32768,1149861888,32768,8.07E+04,0.636258
cachebench-l2-only,1100,3600,input17,benchmark_func,6.34,(128 1 1) (256 1 1),1024,0.370261,0.8955,1,1.040706,1,265216,157.52,33554432,8,157.44,33554432,8,0,106578,0.52834,2819321,13.815,33671500,157.93,33554447,157.8,0,0,0,0,0,0,157.51,33554432,157.49,157.48,0,157.72,33554432,0,0,0,0,32768,1151893504,32768,8.12E+04,0.841326
cachebench-l2-only,1100,3600,input18,benchmark_func,6.3407,(128 1 1) (256 1 1),1024,0.36977,0.8966,1,1.03935,1,265216,157.41,33554432,8,157.31,33554432,8,0,113258,0.56458,4152215,20.964,33668105,157.87,33554438,157.7,0,0,0,0,0,0,157.36,33554432,157.38,157.33,0,157.69,33554432,0,0,0,0,32768,1150844928,32768,8.12E+04,0.841222
cachebench-l2-only,1100,3600,input19,benchmark_func,6.3292,(128 1 1) (256 1 1),1024,0.368827,0.8991,1,1.031035,1,265216,157.63,33554432,8,157.57,33554432,8,0,116708,0.5703,5758241,28.997,33633725,158.11,33554465,158.04,0,0,0,0,0,0,157.65,33554432,157.66,157.63,0,158.01,33554432,0,0,0,0,32768,1150517248,32768,8.12E+04,0.841479
cachebench-l2-only,1100,3600,input20,benchmark_func,6.3593,(128 1 1) (256 1 1),1024,0.369975,0.8965,1,1.039172,1,265216,157.13,33554432,8,157.18,33554432,8,0,139214,0.62943,6147020,30.925,33680643,157.49,33554439,157.52,0,0,0,0,0,0,157.15,33554432,157.12,157.15,0,157.51,33554432,0,0,0,0,32768,1150320640,32768,8.12E+04,0.841636
cachebench-l2-only,1100,3600,input21,benchmark_func,6.3463,(128 1 1) (256 1 1),1024,0.370752,0.8945,1,1.039175,1,265216,157.6,33554432,8,157.54,33554432,8,0,154373,0.66471,5142722,26.141,33640908,158.02,33554438,157.69,0,0,0,0,0,0,157.5,33554432,157.49,157.59,0,157.64,33554432,0,0,0,0,32768,1150255104,32768,8.12E+04,0.843031
cachebench-l2-only,1100,3600,input22,benchmark_func,6.3432,(128 1 1) (256 1 1),1024,0.370739,0.8949,1,1.038371,1,265216,157.6,33554432,8,157.68,33554432,8,0,150513,0.69618,5137567,26.822,33635055,158.09,33554438,157.73,0,0,0,0,0,0,157.58,33554432,157.6,157.64,0,157.62,33554432,0,0,0,0,32768,1150189568,32768,8.12E+04,0.843312
cachebench-l2-only,1100,3600,input23,benchmark_func,6.3477,(128 1 1) (256 1 1),1024,0.3711,0.8943,1,1.03711,1,265216,157.46,33554432,8,157.45,33554432,8,0,145478,0.77248,4488723,22.762,33688760,157.9,33554448,157.54,0,0,0,0,0,0,157.4,33554432,157.52,157.55,0,157.56,33554432,0,0,0,0,32768,1150124032,32768,8.12E+04,0.842977
cachebench-l2-only,1100,3600,input24,benchmark_func,6.3497,(128 1 1) (256 1 1),1024,0.371055,0.894,1,1.03247,1,265216,157.47,33554432,8,157.52,33554432,8,0,174450,0.81921,5051804,24.839,33666498,157.92,33554439,157.52,0,0,0,0,0,0,157.45,33554432,157.43,157.44,0,157.47,33554432,0,0,0,0,32768,1150058496,32768,8.12E+04,0.842598
cachebench-l2-only,1100,3600,input25,benchmark_func,10.849,(128 1 1) (256 1 1),1024,0.369507,0.9346,1,0.604573,1,265216,92.136,33554432,8,92.188,33554432,8,0,25596844,70.204,29787794,81.818,33721935,92.668,33554438,92.213,0,0,0,0,0,0,92.044,33554432,92.176,92.149,0,92.192,33554432,0,0,0,0,32768,1149927424,32768,8.12E+04,0.471099
cachebench-l2-only,1100,3600,input26,benchmark_func,8.9839,(128 1 1) (256 1 1),1024,0.248989,0.9828,1,0.651833,1,265216,222.68,67108864,16,222.59,67108864,16,0,171172,0.55408,260811,1.0161,67246834,223.12,67108871,222.65,0,0,0,0,0,0,222.68,67108864,222.72,222.69,0,222.68,67108864,0,0,0,0,32768,1156153344,32768,8.98E+04,0.59977
cachebench-l2-only,1100,3600,input27,benchmark_func,9.0024,(128 1 1) (256 1 1),1024,0.248978,0.984,1,0.649703,1,265216,222.29,67108864,16,222.28,67108864,16,0,168108,0.58079,4929596,17.974,67249853,222.82,67108870,222.36,0,0,0,0,0,0,222.23,67108864,222.3,222.3,0,222.37,67108864,0,0,0,0,32768,1155104768,32768,8.98E+04,0.598064
cachebench-l2-only,1100,3600,input28,benchmark_func,9.0409,(128 1 1) (256 1 1),1024,0.249335,0.9839,1,0.647721,1,265216,221.35,67108864,16,221.24,67108864,16,0,206997,0.7019,10899706,38.405,67250333,221.78,67108887,221.25,0,0,0,0,0,0,221.33,67108864,221.3,221.33,0,221.21,67108864,0,0,0,0,32768,1154580480,32768,8.98E+04,0.595323
cachebench-l2-only,1100,3600,input29,benchmark_func,9.9594,(128 1 1) (256 1 1),1024,0.249085,0.9522,1,0.610501,1,265216,201.71,67108864,16,201.56,67108864,16,0,4525170,13.475,33597363,101.45,67276079,201.87,67108870,201.21,0,0,0,0,0,0,201.54,67108864,201.73,201.72,0,201.36,67108864,0,0,0,0,32768,1154318336,32768,8.98E+04,0.559969
cachebench-tex-loads,1100,3600,input00,benchmark_func,2.6787,(128 1 1) (256 1 1),1024,0.360327,0.9236,1,1.345701,1,134144,0,0,0,185.81,16777216,4,0,48127,0.49496,5913220,72.998,53588,0.55027,16777222,186.59,0,0,0,0,0,0,0.045776,4096,185.86,185.94,0.7499,373.45,33554432,0,0,0,0,32768,1001029632,32768,5.19E+04,1.239117
cachebench-tex-loads,1100,3600,input01,benchmark_func,2.68,(128 1 1) (256 1 1),1024,0.359416,0.9264,1,1.357238,1,134144,0,0,0,185.59,16777216,4,0,39437,0.61607,4568567,59.556,56693,0.60081,16777227,186.65,0,0,0,0,0,0,0.091553,8192,185.59,185.67,0.7499,373.04,33554432,0,0,0,0,32768,999981056,32768,5.19E+04,1.227921
cachebench-tex-loads,1100,3600,input02,benchmark_func,2.6821,(128 1 1) (256 1 1),1024,0.360031,0.9242,1,1.355844,1,134144,0,0,0,185.16,16777216,4,0,54355,0.59509,3172076,43.031,40017,0.55981,16777222,186.32,0,0,0,0,0,0,0.13828,12288,185.36,185.34,0.7498,372.89,33554432,0,0,0,0,32768,999653376,32768,5.19E+04,1.237843
cachebench-tex-loads,1100,3600,input03,benchmark_func,2.6829,(128 1 1) (256 1 1),1024,0.361391,0.9204,1,1.367771,1,134144,0,0,0,184.78,16777216,4,0,63187,0.74577,2169932,27.806,66947,0.7143,16777227,186.32,0,0,0,0,0,0,0.18311,16384,184.71,184.62,0.7498,372.73,33554432,0,0,0,0,32768,999456768,32768,5.19E+04,1.241532
cachebench-tex-loads,1100,3600,input04,benchmark_func,2.6865,(128 1 1) (256 1 1),1024,0.362902,0.916,1,1.366763,1,134144,0,0,0,183.99,16777216,4,0,59178,0.71621,2248183,27.541,56787,0.70095,16777227,186.17,0,0,0,0,0,0,0.22888,20480,183.85,184.07,0.7497,372.49,33554432,0,0,0,0,32768,999391232,32768,5.19E+04,1.246517
cachebench-tex-loads,1100,3600,input05,benchmark_func,2.6889,(128 1 1) (256 1 1),1024,0.363371,0.9144,1,1.36877,1,134144,0,0,0,183.61,16777216,4,0,64097,0.75817,1990326,23.848,76800,0.84209,16777222,185.88,0,0,0,0,0,0,0.27466,24576,183.38,183.42,0.7496,371.63,33554432,0,0,0,0,32768,999325696,32768,5.19E+04,1.246686
cachebench-tex-loads,1100,3600,input06,benchmark_func,2.6917,(128 1 1) (256 1 1),1024,0.363237,0.9137,1,1.371107,1,134144,0,0,0,183.26,16777216,4,0,69399,0.77724,1876617,22.589,83393,0.8049,16777222,185.67,0,0,0,0,0,0,0.31948,28672,183.35,183.19,0.7496,371.76,33554432,0,0,0,0,32768,999260160,32768,5.19E+04,1.242789
cachebench-tex-loads,1100,3600,input07,benchmark_func,2.7034,(128 1 1) (256 1 1),1024,0.362473,0.9126,1,1.363818,1,134144,0,0,0,183.11,16777216,4,0,72972,0.80872,1740947,21.003,66723,0.77534,16777222,184.4,0,0,0,0,0,0,0.36526,32768,182.96,183.15,0.7495,368.91,33554432,0,0,0,0,32768,999194624,32768,5.19E+04,1.236012
cachebench-tex-loads,1100,3600,input08,benchmark_func,2.7296,(128 1 1) (256 1 1),1024,0.364205,0.9053,1,1.365817,1,134144,0,0,0,182.99,16777216,4,0,76500,0.85735,1677303,19.783,94388,0.99373,16777238,183.16,0,0,0,0,0,0,0.41103,36864,182.95,182.9,0.7495,366.36,33554432,0,0,0,0,32768,999194624,32768,5.19E+04,1.240472
cachebench-tex-loads,1100,3600,input09,benchmark_func,2.7332,(128 1 1) (256 1 1),1024,0.364299,0.9056,1,1.364902,1,134144,0,0,0,182.89,16777216,4,0,82453,0.99087,1622316,19.074,86496,0.9974,16777236,182.94,0,0,0,0,0,0,0.45586,40960,182.82,182.92,0.7494,365.9,33554432,0,0,0,0,32768,999194624,32768,5.19E+04,1.238917
cachebench-tex-loads,1100,3600,input10,benchmark_func,2.7349,(128 1 1) (256 1 1),1024,0.364184,0.905,1,1.364958,1,134144,0,0,0,182.66,16777216,4,0,78951,0.98228,1443652,16.584,83799,0.92793,16777222,182.78,0,0,0,0,0,0,0.50163,45056,182.68,182.77,0.7493,365.8,33554432,0,0,0,0,32768,999129088,32768,5.19E+04,1.236369
cachebench-tex-loads,1100,3600,input11,benchmark_func,2.7358,(128 1 1) (256 1 1),1024,0.364544,0.9045,1,1.36607,1,134144,0,0,0,182.88,16777216,4,0,98991,1.0282,1489913,17.357,91980,0.99373,16777222,182.73,0,0,0,0,0,0,0.54741,49152,182.66,182.61,0.7493,365.51,33554432,0,0,0,0,32768,999129088,32768,5.19E+04,1.237898
cachebench-tex-loads,1100,3600,input12,benchmark_func,4.5791,(128 1 1) (256 1 1),1024,0.366886,0.8861,1,0.845818,1,134144,0,0,0,109.26,16777216,4,0,123205,0.87357,1650139,11.594,5654726,36.792,16777228,109.24,0,0,0,0,0,0,36.223,5563616,109.25,109.27,0.6671,218.58,33554432,0,0,0,0,32768,999129088,32768,5.19E+04,0.752648
cachebench-tex-loads,1100,3600,input13,benchmark_func,4.8941,(128 1 1) (256 1 1),1024,0.366242,0.8855,1,0.788971,1,134144,0,0,0,102.14,16777216,4,0,138515,0.81348,1724544,10.901,7398296,45.379,16777253,102.16,0,0,0,0,0,0,44.751,7360802,102.16,102.15,0.6409,204.4,33554432,0,0,0,0,32768,999129088,32768,5.19E+04,0.704745
cachebench-tex-loads,1100,3600,input14,benchmark_func,5.1555,(128 1 1) (256 1 1),1024,0.370926,0.8901,1,0.731603,1,134144,0,0,0,96.964,16777216,4,0,139669,0.85068,1927204,11.43,10446328,60.697,16777230,96.996,0,0,0,0,0,0,59.824,10393282,96.97,96.986,0.5952,194.02,33554432,0,0,0,0,32768,999129088,32768,5.19E+04,0.665561
cachebench-tex-loads,1100,3600,input15,benchmark_func,5.1895,(128 1 1) (256 1 1),1024,0.370918,0.8903,1,0.72122,1,134144,0,0,0,96.317,16777216,4,0,141465,0.85735,1565167,9.2871,11218665,64.545,16777228,96.341,0,0,0,0,0,0,63.954,11127964,96.337,96.329,0.5843,192.72,33554432,0,0,0,0,32768,999063552,32768,5.19E+04,0.660663
cachebench-tex-loads,1100,3600,input16,benchmark_func,8.257,(128 1 1) (256 1 1),1024,0.37034,0.9268,1,0.425683,1,134144,0,0,0,60.55,16777216,4,0,12851812,46.43,15127019,54.652,16912815,60.978,16777284,60.594,0,0,0,0,0,0,60.533,16777216,60.561,60.606,0.5,121.12,33554432,0,0,0,0,32768,998998016,32768,5.19E+04,0.398988
cachebench-tex-loads,1100,3600,input17,benchmark_func,3.6607,(128 1 1) (256 1 1),1024,0.249498,0.9858,1,1.12401,1,134144,0,0,0,272.16,33554432,8,0,63972,0.53501,258550,2.3525,72817,0.5188,33554438,273.13,0,0,0,0,0,0,0.067711,8192,272.13,272.16,0.4999,273.12,33554432,0,0,0,0,32768,1134231552,32768,6.46E+04,1.058597
cachebench-tex-loads,1100,3600,input18,benchmark_func,3.6617,(128 1 1) (256 1 1),1024,0.249505,0.9856,1,1.123344,1,134144,0,0,0,271.92,33554432,8,0,70535,0.67902,1957690,18.673,87701,0.77724,33554460,273.05,0,0,0,0,0,0,0.13542,16384,271.93,271.92,0.4998,273.04,33554432,0,0,0,0,32768,1133182976,32768,6.46E+04,1.058323
cachebench-tex-loads,1100,3600,input19,benchmark_func,3.6628,(128 1 1) (256 1 1),1024,0.249509,0.9855,1,1.122723,1,134144,0,0,0,271.74,33554432,8,0,85918,0.7143,3150654,28.884,84560,0.60177,33554438,273,0,0,0,0,0,0,0.20313,24576,271.78,271.83,0.4996,273,33554432,0,0,0,0,32768,1132855296,32768,6.46E+04,1.05812
cachebench-tex-loads,1100,3600,input20,benchmark_func,3.6737,(128 1 1) (256 1 1),1024,0.249514,0.9855,1,1.122708,1,134144,0,0,0,271.68,33554432,8,0,87506,0.79918,3018111,26.491,83609,0.81921,33554438,272.81,0,0,0,0,0,0,0.27084,32768,271.71,271.65,0.4995,272.76,33554432,0,0,0,0,32768,1132658688,32768,6.46E+04,1.057386
cachebench-tex-loads,1100,3600,input21,benchmark_func,3.6779,(128 1 1) (256 1 1),1024,0.24954,0.9856,1,1.12227,1,134144,0,0,0,271.5,33554432,8,0,99262,0.73719,2896319,26.803,103186,0.82588,33554438,271.88,0,0,0,0,0,0,0.33855,40960,271.52,271.5,0.4994,271.82,33554432,0,0,0,0,32768,1132593152,32768,6.46E+04,1.053576
cachebench-tex-loads,1100,3600,input22,benchmark_func,3.6801,(128 1 1) (256 1 1),1024,0.249551,0.9855,1,1.121919,1,134144,0,0,0,271.39,33554432,8,0,104542,0.87643,2568167,23.286,110649,0.86594,33554438,271.69,0,0,0,0,0,0,0.40627,49152,271.38,271.35,0.4993,271.67,33554432,0,0,0,0,32768,1132527616,32768,6.46E+04,1.053028
cachebench-tex-loads,1100,3600,input23,benchmark_func,3.6823,(128 1 1) (256 1 1),1024,0.249558,0.9855,1,1.12118,1,134144,0,0,0,271.25,33554432,8,0,119595,0.94604,2497238,22.471,114240,1.0198,33554474,271.59,0,0,0,0,0,0,0.47398,57344,271.25,271.26,0.4991,271.55,33554432,0,0,0,0,32768,1132462080,32768,6.46E+04,1.052378
cachebench-tex-loads,1100,3600,input24,benchmark_func,3.6854,(128 1 1) (256 1 1),1024,0.249558,0.9856,1,1.120396,1,134144,0,0,0,271.08,33554432,8,0,128396,0.98896,2301668,19.668,129594,0.97656,33554438,271.38,0,0,0,0,0,0,0.54169,65536,271.05,271.06,0.499,271.36,33554432,0,0,0,0,32768,1132396544,32768,6.46E+04,1.051647
cachebench-tex-loads,1100,3600,input25,benchmark_func,8.4303,(128 1 1) (256 1 1),1024,0.248989,0.9413,1,0.50462,1,134144,0,0,0,118.57,33554432,8,0,2770399,9.7267,15533234,54.817,33520453,118.52,33554438,118.69,0,0,0,0,0,0,118.03,33290733,118.71,118.62,0.0039,118.65,33554432,0,0,0,0,32768,1132265472,32768,6.46E+04,0.480093
cachebench-tex-loads,1100,3600,input26,benchmark_func,4.822,(128 1 1) (256 1 1),1024,0.249539,0.9865,1,1.159173,1,134144,0,0,0,413.68,67108864,16,0,108950,0.61226,680429,4.57,46484,0.60558,67108894,414.78,0,0,0,0,0,0,0.103,16384,413.76,413.79,0.4999,414.76,67108864,0,0,0,0,32768,1272840192,32768,8.82E+04,1.097564
cachebench-tex-loads,1100,3600,input27,benchmark_func,4.8304,(128 1 1) (256 1 1),1024,0.24955,0.9862,1,1.158813,1,134144,0,0,0,413.33,67108864,16,0,94210,0.7143,4669241,30.832,102061,0.92602,67108884,414.38,0,0,0,0,0,0,0.20599,32768,413.45,413.44,0.4998,414.3,67108864,0,0,0,0,32768,1271791616,32768,8.82E+04,1.09672
cachebench-tex-loads,1100,3600,input28,benchmark_func,4.9277,(128 1 1) (256 1 1),1024,0.2496,0.9855,1,1.136373,1,134144,0,0,0,406.03,67108864,16,0,152957,0.84114,5474811,35.699,158664,0.99277,67108919,405.89,0,0,0,0,0,0,0.40436,65536,405.67,405.78,0.4995,405.74,67108864,0,0,0,0,32768,1271267328,32768,8.82E+04,1.075046
cachebench-tex-loads,1100,3600,input29,benchmark_func,9.4912,(128 1 1) (256 1 1),1024,0.248346,0.9675,1,0.612361,1,134144,0,0,0,218.06,67108864,16,0,1513991,5.0841,22730016,73.862,59379717,193.07,67108875,210.83,0,0,0,0,0,0,191.42,59124740,217.68,218.99,0.062,210.77,67108864,0,0,0,0,32768,1271005184,32768,8.82E+04,0.567666
cachebench,1100,3600,input00,benchmark_func,3.5051,(128 1 1) (256 1 1),1024,0.249457,0.9846,1,1.56668,1,265216,284.39,33554432,8,142.15,16777216,4,0.9999,67571,0.56553,6116284,58.144,56875,0.65517,16777222,142.71,0,0,0,0,0,0,0.035286,4096,142.16,142.14,0.7499,142.64,16777216,0,0,0,0,32768,1151893504,32768,8.07E+04,1.379799
cachebench,1100,3600,input01,benchmark_func,3.5057,(128 1 1) (256 1 1),1024,0.249464,0.9848,1,1.565804,1,265216,284.28,33554432,8,142.09,16777216,4,0.9998,62691,0.52166,4629048,45.219,74554,0.43869,16777222,142.64,0,0,0,0,0,0,0.070572,8192,142.13,142.14,0.7499,142.67,16777216,0,0,0,0,32768,1150844928,32768,8.07E+04,1.379487
cachebench,1100,3600,input02,benchmark_func,3.5069,(128 1 1) (256 1 1),1024,0.249457,0.9848,1,1.565461,1,265216,284.23,33554432,8,142.06,16777216,4,0.9996,66181,0.54455,3497896,34.98,59379,0.51117,16777222,142.6,0,0,0,0,0,0,0.10586,12288,142.09,142.11,0.7498,142.59,16777216,0,0,0,0,32768,1150517248,32768,8.07E+04,1.379223
cachebench,1100,3600,input03,benchmark_func,3.5073,(128 1 1) (256 1 1),1024,0.249459,0.9848,1,1.564635,1,265216,284.15,33554432,8,142.04,16777216,4,0.9995,74445,0.65231,2633239,27.124,67361,0.70572,16777222,142.61,0,0,0,0,0,0,0.14114,16384,142.07,142.09,0.7498,142.57,16777216,0,0,0,0,32768,1150320640,32768,8.07E+04,1.378945
cachebench,1100,3600,input04,benchmark_func,3.5093,(128 1 1) (256 1 1),1024,0.249462,0.9849,1,1.563917,1,265216,284.04,33554432,8,141.96,16777216,4,0.9994,78105,0.64468,1967164,19.566,81007,0.78487,16777241,142.55,0,0,0,0,0,0,0.17738,20480,142.04,142.03,0.7497,142.54,16777216,0,0,0,0,32768,1150255104,32768,8.07E+04,1.378643
cachebench,1100,3600,input05,benchmark_func,3.5094,(128 1 1) (256 1 1),1024,0.249456,0.985,1,1.563454,1,265216,283.94,33554432,8,141.92,16777216,4,0.9993,77410,0.59128,1559506,15.265,70175,0.844,16777228,142.55,0,0,0,0,0,0,0.21267,24576,142,141.98,0.7496,142.56,16777216,0,0,0,0,32768,1150189568,32768,8.07E+04,1.378258
cachebench,1100,3600,input06,benchmark_func,3.5091,(128 1 1) (256 1 1),1024,0.249458,0.9851,1,1.562588,1,265216,283.83,33554432,8,141.88,16777216,4,0.9991,82275,0.7515,1765584,16.704,92609,0.64468,16777232,142.52,0,0,0,0,0,0,0.24796,28672,141.91,141.9,0.7496,142.49,16777216,0,0,0,0,32768,1150124032,32768,8.07E+04,1.37802
